Day,Month,Year,Venue,City,Country,Tour
25,Mar,1970,Revolution Club,London,United Kingdom,first UK tour
21,Apr,1970,Roundhouse,London,United Kingdom,first UK tour
7,May,1970,Roadhouse,London,United Kingdom,first UK tour
9,May,1970,Slough College Main Hall,Slough,United Kingdom,first UK tour
22,May,1970,BBC Studios,London,United Kingdom,first UK tour
6,Jun,1970,Marquee Club,London,United Kingdom,first UK tour
13,Jun,1970,Queens Hall,Narberth,United Kingdom,first UK tour
17,Jun,1970,Lyceum Ballroom,London,United Kingdom,first UK tour
26,Jun,1970,St Mary's College,Twickenham,United Kingdom,first UK tour
3,Jul,1970,Hampstead Country Club,London,United Kingdom,first UK tour
4,Jul,1970,Speakeasy,London,United Kingdom,first UK tour
14,Aug,1970,Barkisland,Yorkshire,United Kingdom,Yorkshire Folk Blues and Jazz Festival
25,Aug,1970,Troubadour Club,Los Angeles,United States of America,first United States of America tour
26,Aug,1970,Troubadour Club,Los Angeles,United States of America,first United States of America tour
27,Aug,1970,Troubadour Club,Los Angeles,United States of America,first United States of America tour
28,Aug,1970,Troubadour Club,Los Angeles,United States of America,first United States of America tour
29,Aug,1970,Troubadour Club,Los Angeles,United States of America,first United States of America tour
30,Aug,1970,Troubadour Club,Los Angeles,United States of America,first United States of America tour
8,Sep,1970,unknown,San Francisco,United States of America,first United States of America tour
11,Sep,1970,The Electric Factory,Philadelphia,United States of America,first United States of America tour
12,Sep,1970,The Electric Factory,Philadelphia,United States of America,first United States of America tour
2,Oct,1970,Royal Albert Hall,London,United Kingdom,Fotheringay support act
29,Oct,1970,Boston Tea Party,Boston,United States of America,first United States of America tour
30,Oct,1970,Boston Tea Party,Boston,United States of America,first United States of America tour
31,Oct,1970,Boston Tea Party,Boston,United States of America,first United States of America tour
6,Nov,1970,The Electric Factory,Philadelphia,United States of America,first United States of America tour
7,Nov,1970,The Electric Factory,Philadelphia,United States of America,first United States of America tour
8,Nov,1970,Painters Mill Music Fair,Owings Mills,United States of America,first United States of America tour
12,Nov,1970,Fillmore West,San Francisco,United States of America,first United States of America tour
13,Nov,1970,Fillmore West,San Francisco,United States of America,first United States of America tour
14,Nov,1970,Fillmore West,San Francisco,United States of America,first United States of America tour
15,Nov,1970,Santa Monica Civic Auditorium,Los Angeles,United States of America,first United States of America tour
17,Nov,1970,A&R Studios,New York,United States of America,first United States of America tour
20,Nov,1970,Fillmore East,New York,United States of America,first United States of America tour
21,Nov,1970,Fillmore East,New York,United States of America,first United States of America tour
22,Nov,1970,University Of Bridgeport,Bridgeport,United States of America,first United States of America tour
23,Nov,1970,Glassboro State College,Glassboro,United States of America,first United States of America tour
25,Nov,1970,Auditorium Theatre,Chicago,United States of America,first United States of America tour
26,Nov,1970,Cleveland Music Hall,Cleveland,United States of America,first United States of America tour
27,Nov,1970,Eastown Theatre,Detroit,United States of America,first United States of America tour
28,Nov,1970,Eastown Theatre,Detroit,United States of America,first United States of America tour
29,Nov,1970,Guthrie Theater,Minneapolis,United States of America,first United States of America tour
1,Dec,1970,Champ Auditorium,Fulton,United States of America,first United States of America tour
2,Dec,1970,Onondaga War Memorial,Syracuse,United States of America,first United States of America tour
4,Dec,1970,Anaheim Convention Center,Anaheim,United States of America,first United States of America tour
5,Dec,1970,Swing Auditorium,San Bernardino,United States of America,first United States of America tour
6,Dec,1970,Royce Hall,Los Angeles,United States of America,first United States of America tour
20,Dec,1970,Roundhouse,London,United Kingdom,Winter 1971 Tour
2,Jan,1971,Mothers,Birmingham,United Kingdom,Winter 1971 Tour
3,Jan,1971,Pavilion,Hemel Hempstead,United Kingdom,Winter 1971 Tour
8,Jan,1971,Country Club,Hampstead,United Kingdom,Winter 1971 Tour
9,Jan,1971,Village Blues Club,Dagenham,United Kingdom,Winter 1971 Tour
10,Jan,1971,Guildford Civic Hall,Guildford,United Kingdom,Winter 1971 Tour
11,Jan,1971,Winter Gardens,Cleethropes,United Kingdom,Winter 1971 Tour
13,Jan,1971,City Hall,Hull,United Kingdom,Winter 1971 Tour
15,Jan,1971,University Old Union Refectory,Southampton,United Kingdom,Winter 1971 Tour
16,Jan,1971,Loughborough University,Loughborough,United Kingdom,Winter 1971 Tour
27,Jan,1971,Liverpool Philharmonic,Liverpool,United Kingdom,Winter 1971 Tour
31,Jan,1971,The Fox,Croydon,United Kingdom,Winter 1971 Tour
1,Feb,1971,Cooks Ferry Inn,Edmonton,United Kingdom,Winter 1971 Tour
5,Feb,1971,Lanchester Polytechnic Main Hall,Coventry,United Kingdom,Lanchester Arts Festival
6,Feb,1971,Leeds University,Leeds,United Kingdom,Winter 1971 Tour
9,Feb,1971,Bumpers,London,United Kingdom,Winter 1971 Tour
12,Feb,1971,Stirling University,Stirling,United Kingdom,Winter 1971 Tour
13,Feb,1971,Stratchclyde University,Glasgow,United Kingdom,Winter 1971 Tour
14,Feb,1971,Dunfermline Kinema,Dunfermline,United Kingdom,Winter 1971 Tour
20,Feb,1971,City Hall,Newcastle Upon Tyne,United Kingdom,Winter 1971 Tour
24,Feb,1971,Imperial College,London,United Kingdom,Winter 1971 Tour
26,Feb,1971,Brunel University,Uxbridge,United Kingdom,Winter 1971 Tour
27,Feb,1971,Bradford University,Bradford,United Kingdom,Winter 1971 Tour
3,Mar,1971,Royal Festival Hall,london,United Kingdom,Winter 1971 Tour
6,Mar,1971,Leicester University,Leicester,United Kingdom,Winter 1971 Tour
13,Mar,1971,Kingston College Epsom Baths Hall,Epsom,United Kingdom,Winter 1971 Tour
14,Mar,1971,Colston Hall,Bristol,United Kingdom,Winter 1971 Tour
20,Mar,1971,University College,London,United Kingdom,Winter 1971 Tour
28,Mar,1971,Fairfield Hall,Croydon,United Kingdom,Winter 1971 Tour
2,Apr,1971,Loew's State Theatre,Providence,United States of America,Spring 1971 Tour
3,Apr,1971,Mayser Gym,Lancaster,United States of America,Spring 1971 Tour
7,Apr,1971,The Spectrum,Philadelphia,United States of America,Spring 1971 Tour
8,Apr,1971,Fillmore East,New York,United States of America,Spring 1971 Tour
9,Apr,1971,Fillmore East,New York,United States of America,Spring 1971 Tour
10,Apr,1971,Fillmore East,New York,United States of America,Spring 1971 Tour
11,Apr,1971,Painters Mill Music Fair,Owings Mills,United States of America,Spring 1971 Tour
13,Apr,1971,Auditorium Theatre,Chicago,United States of America,Spring 1971 Tour
14,Apr,1971,Auditorium Theatre,Chicago,United States of America,Spring 1971 Tour
15,Apr,1971,Auditorium Theatre,Chicago,United States of America,Spring 1971 Tour
16,Apr,1971,Memorial Building,Detroit,United States of America,Spring 1971 Tour
17,Apr,1971,Veterans Memorial Auditorium,Columbus,United States of America,Spring 1971 Tour
18,Apr,1971,Cincinnati Music Hall,Cincinnati,United States of America,Spring 1971 Tour
20,Apr,1971,Civic Auditorium,Omaha,United States of America,Spring 1971 Tour
21,Apr,1971,unknown,Portland,United States of America,Spring 1971 Tour
23,Apr,1971,Agrodome Theatre,Vancouver,Canada,Spring 1971 Tour
24,Apr,1971,Seattle Center Coliseum,Seattle,United States of America,Spring 1971 Tour
29,Apr,1971,Denver Coliseum,Denver,United States of America,Spring 1971 Tour
1,May,1971,Honolulu International Center,Honolulu,United States of America,Spring 1971 Tour
9,May,1971,Civic Auditorium,San Francisco,United States of America,Spring 1971 Tour
11,May,1971,Sacramento Auditorium,Sacramento,United States of America,Spring 1971 Tour
12,May,1971,Convention Center,Fresno,United States of America,Spring 1971 Tour
14,May,1971,Anaheim Convention Center,Anaheim,United States of America,Spring 1971 Tour
15,May,1971,University Arena,Albuquerque,United States of America,Spring 1971 Tour
16,May,1971,Denver Municipal Auditorium,Denver,United States of America,Spring 1971 Tour
17,May,1971,University Of Colorado,Boulder,United States of America,Spring 1971 Tour
19,May,1971,Civic Center Music Hall,Oklahoma City,United States of America,Spring 1971 Tour
20,May,1971,Sam Houston Coliseum,Houston,United States of America,Spring 1971 Tour
21,May,1971,Municipal Auditorium,San Antonio,United States of America,Spring 1971 Tour
22,May,1971,Fair Park Music Hall,Dallas,United States of America,Spring 1971 Tour
23,May,1971,Memorial Hall,Kansas City,United States of America,Spring 1971 Tour
24,May,1971,Tarrant County Theatre,Fort Worth,United States of America,Spring 1971 Tour
26,May,1971,The Warehouse,New Orleans,United States of America,Spring 1971 Tour
28,May,1971,Curtis Hixon Auditorium,Tampa,United States of America,Spring 1971 Tour
29,May,1971,Jai Alai Arena,Miami,United States of America,Spring 1971 Tour
30,May,1971,Jacksonville Coliseum,Jacksonville,United States of America,Spring 1971 Tour
4,Jun,1971,Kiel Auditorium,St. Louis,United States of America,Spring 1971 Tour
5,Jun,1971,Ellis Auditorium,Memphis,United States of America,Spring 1971 Tour
6,Jun,1971,Convention Center,Louisville,United States of America,Spring 1971 Tour
8,Jun,1971,Municipal Auditorium,Atlanta,United States of America,Spring 1971 Tour
10,Jun,1971,Carnegie Hall,New York,United States of America,Spring 1971 Tour
11,Jun,1971,Carnegie Hall,New York,United States of America,Spring 1971 Tour
12,Jun,1971,Cleveland Public Auditorium,Cleveland,United States of America,Spring 1971 Tour
13,Jun,1971,Rhode Island Auditorium,Providence,United States of America,Spring 1971 Tour
14,Jun,1971,Kleinhans Music Hall,Buffalo,United States of America,Spring 1971 Tour
16,Jun,1971,Merriweather Post Pavilion,Columbia,United States of America,Spring 1971 Tour
18,Jun,1971,Farm Show Arena,Harrisburg,United States of America,Spring 1971 Tour
8,Jul,1971,Gröna Lund,Stockholm,Sweden,none
31,Jul,1971,Crystal Palace Bowl,London,United Kingdom,garden party show
8,Aug,1971,unknown,Vilar dos Mouros,Portugal,Vilar dos Mouros Festival
27,Aug,1971,Wildwood Convention Center,Wildwood,United States of America,third us tour
28,Aug,1971,Convention Hall,Asbury Park,United States of America,third us tour
30,Aug,1971,Milwaukee Auditorium,Milwaukee,United States of America,third us tour
31,Aug,1971,Minneapolis Auditorium,Minneapolis,United States of America,1971 Tour
2,Sep,1971,Saratoga Performing Arts Center,Saratoga Springs,United States of America,third us tour
3,Sep,1971,Onondaga War Memorial,Syracuse,United States of America,third us tour
4,Sep,1971,Rochester War Memorial,Rochester,United States of America,third us tour
6,Sep,1971,The Greek Theatre,Los Angeles,United States of America,third us tour
7,Sep,1971,The Greek Theatre,Los Angeles,United States of America,third us tour
8,Sep,1971,The Greek Theatre,Los Angeles,United States of America,third us tour
9,Sep,1971,The Greek Theatre,Los Angeles,United States of America,third us tour
10,Sep,1971,The Greek Theatre,Los Angeles,United States of America,third us tour
11,Sep,1971,The Greek Theatre,Los Angeles,United States of America,third us tour
12,Sep,1971,The Greek Theatre,Los Angeles,United States of America,third us tour
15,Sep,1971,Convention Center,Las Vegas,United States of America,third us tour
16,Sep,1971,Washoe County Fairgrounds,Reno,United States of America,third us tour
18,Sep,1971,Community Concourse,San Diego,United States of America,third US tour
5,Oct,1971,Shibuya Kohkaido,Tokyo,Japan,japan tour
6,Oct,1971,Shibuya Kohkaido,Tokyo,Japan,japan tour
7,Oct,1971,Osaka Kohsei Nenkin Hall,Osaka,Japan,japan tour
8,Oct,1971,Kohsei Nenkin Hall,Osaka,Japan,japan tour
10,Oct,1971,Shinjuku Kohsei Nenkin Hall,Tokyo,Japan,japan tour
11,Oct,1971,Shinjuku Kohsei Nenkin Hall,Tokyo,Japan,japan tour
16,Oct,1971,Subiaco Oval,Perth,Australia,first Australian Tour
17,Oct,1971,Subiaco Oval,Perth,Australia,first australian tour
22,Oct,1971,Memorial Drive,Adelaide,Australia,first Australian Tour
24,Oct,1971,Kooyong Stadium,Melbourne,Australia,first Australian tour
26,Oct,1971,Festival Hall,Brisbane,Australia,First Australian Tour
29,Oct,1971,Western Springs Stadium,Auckland,New Zealand,1st australian tour
31,Oct,1971,Randwick Stadium,Sydney,Australia,1st australian tour
21,Nov,1971,Coventry Theatre,Coventry,United Kingdom,UK Fall 1971 Tour
22,Nov,1971,Free Trade Hall,Manchester,United Kingdom,UK Fall 1971 Tour
24,Nov,1971,De Montfort Hall,Leicester,United Kingdom,UK Fall 1971 Tour
26,Nov,1971,Winter Gardens,Bournemouth,United Kingdom,UK Fall 1971 Tour
27,Nov,1971,ABC Theatre,Plymouth,United Kingdom,UK Fall 1971 Tour
28,Nov,1971,Colston Hall,Bristol,United Kingdom,UK Fall 1971 Tour
3,Dec,1971,Town Hall,Birmingham,United Kingdom,UK Fall 1971 Tour
4,Dec,1971,Brighton Dome,Brighton,United Kingdom,UK Fall 1971 Tour
5,Dec,1971,Fairfield Hall,Croydon,United Kingdom,UK Fall 1971 Tour
10,Dec,1971,City Hall,Newcastle Upon Tyne,United Kingdom,UK Fall 1971 Tour
11,Dec,1971,ABC Theatre,Stockton On Tees,United Kingdom,UK Fall 1971 Tour
16,Dec,1971,Town hall,Leeds,United Kingdom,UK Fall 1971 Tour
17,Dec,1971,City Hall,Sheffield,United Kingdom,UK Fall 1971 Tour
5,Feb,1972,Royal Festival Hall,London,United Kingdom,Winter 1972 Tour
20,Feb,1972,Shaw Theatre NYT,London,United Kingdom,benefit of the national youth theatre
23,Feb,1972,Exeter University,Exeter,United Kingdom,Winter 1972 Tour
24,Feb,1972,Watford Town Hall,Watford,United Kingdom,Winter 1972 Tour
26,Feb,1972,Waltham Forest Technical College,Waltham Forest,United Kingdom,Winter 1972 Tour
27,Feb,1972,Shaw Theatre NYT,London,United Kingdom,benefit of the national youth theatre
1,Mar,1972,The Music Hall,Aberdeen,United Kingdom,Winter 1972 Tour
2,Mar,1972,Caird Hall,Dundee,United Kingdom,Winter 1972 Tour
3,Mar,1972,Kelvin Hall,Glasgow,United Kingdom,Winter 1972 Tour
4,Mar,1972,Empire Theatre,Edinburgh,United Kingdom,Winter 1972 Tour
12,Mar,1972,Jahrhunderhalle,Frankfurt,Germany,Winter 1972 Tour
16,Mar,1972,Musikhalle,Hamburg,Germany,Winter 1972 Tour
19,Mar,1972,Deutschlandhalle,Berlin,Germany,Winter 1972 Tour
20,Mar,1972,Jahrhunderthalle,Frankfurt,Germany,Winter 1972 Tour
26,Apr,1972,Heart O' Texas Coliseum,Waco,United States of America,first leg of north american tour
28,Apr,1972,Hofheinz Pavilion,Houston,United States of America,first leg of north american tour
30,Apr,1972,Municipal Auditorium,Austin,United States of America,first leg of north american tour
2,May,1972,Brewer Fieldhouse,Columbia,United States of America,first leg of north american tour
3,May,1972,Athletic And Convocation Center,Notre Dame,United States of America,first leg of north american tour
4,May,1972,Jenison Field House,East Lansing,United States of America,first leg of north american tour
5,May,1972,Memorial Gymnasium,Kent,United States of America,first leg of north american tour
6,May,1972,St. John Arena,Columbus,United States of America,first leg of north american tour
7,May,1972,Millett Hall,Oxford,United States of America,first leg of north american tour
8,May,1972,Arie Crown Theater,Chicago,United States of America,first leg of north american tour
9,May,1972,Arie Crown Theater,Chicago,United States of America,first leg of north american tour
10,May,1972,Assembly Hall,Champaign,United States of America,first leg of north american tour
12,May,1972,Outdoor Performing Arts Facility,Carbondale,United States of America,first leg of north american tour
13,May,1972,Field House,DeKalb,United States of America,first leg of north american tour
15,May,1972,Halenbeck Hall,Saint Cloud,United States of America,first leg of north american tour
3,Jun,1972,Crystal Palace,London,United Kingdom,garden party
26,Aug,1972,Guildhall,Portsmouth,United Kingdom,Tour with Linda Lewis
27,Aug,1972,Shaw Theatre,London,United Kingdom,Tour with Linda Lewis
31,Aug,1972,City Hall,Newcastle,United Kingdom,Tour with Linda Lewis
1,Sep,1972,Free Trade Hall,Manchester,United Kingdom,Tour with Linda Lewis
3,Sep,1972,Fairfield Hall,Croydon,United Kingdom,Tour with Linda Lewis
8,Sep,1972,Green's Playhouse,Glasgow,United Kingdom,Tour with Linda Lewis
10,Sep,1972,New Theatre,Oxford,United Kingdom,Tour with Linda Lewis
17,Sep,1972,Shaw Theatre,London,United Kingdom,Tour with Linda Lewis
26,Sep,1972,Barton Hall,Ithaca,United States of America,Legs Larry Tour
27,Sep,1972,Boston Music Hall,Boston,United States of America,Legs Larry Tour
28,Sep,1972,Boston Music Hall,Boston,United States of America,Legs Larry Tour
29,Sep,1972,New Haven Arena,New Haven,United States of America,Legs Larry Tour
30,Sep,1972,The Spectrum,Philadelphia,United States of America,Legs Larry Tour
1,Oct,1972,Rochester War Memorial,Rochester,United States of America,Legs Larry Tour
2,Oct,1972,The Forum,Montreal,Canada,Legs Larry Tour
5,Oct,1972,Maple Leaf Gardens,Toronto,Canada,Legs Larry Tour
6,Oct,1972,Cobo Hall,Detroit,United States of America,Legs Larry Tour
7,Oct,1972,Memorial Auditorium,Buffalo,United States of America,Legs Larry Tour
9,Oct,1972,Nassau Coliseum,Uniondale,United States of America,Legs Larry Tour
11,Oct,1972,Horton Fieldhouse,Normal,United States of America,Legs Larry Tour
12,Oct,1972,Wichita Civic Center,Wichita,United States of America,Legs Larry Tour
13,Oct,1972,Allen Fieldhouse,Lawrence,United States of America,Legs Larry Tour
14,Oct,1972,Hilton Coliseum,Ames,United States of America,Legs Larry Tour
15,Oct,1972,Auditorium Arena,Denver,United States of America,Legs Larry Tour
18,Oct,1972,Honolulu International Center,Honolulu,United States of America,Legs Larry Tour
20,Oct,1972,Seattle Center Coliseum,Seattle,United States of America,Legs Larry Tour
21,Oct,1972,Berkeley Community Theatre,Berkeley,United States of America,Legs Larry Tour
22,Oct,1972,Anaheim Convention Center,Anaheim,United States of America,Legs Larry Tour
23,Oct,1972,The Forum,Los Angeles,United States of America,Legs Larry Tour
24,Oct,1972,The Forum,Los Angeles,United States of America,Legs Larry Tour
25,Oct,1972,Berkeley Community Theatre,Berkeley,United States of America,Legs Larry Tour
26,Oct,1972,Tucson Convention Center,Tucson,United States of America,Legs Larry Tour
27,Oct,1972,Sports Arena,San Diego,United States of America,Legs Larry Tour
30,Oct,1972,London Palladium,London,United Kingdom,command performance for the queen
1,Nov,1972,Oklahoma State University,Stillwater,United States of America,Legs Larry Tour
2,Nov,1972,Tulsa Assembly Center,Tulsa,United States of America,Legs Larry Tour
3,Nov,1972,Fairgrounds Arena,Oklahoma City,United States of America,Legs Larry Tour
4,Nov,1972,Municipal Auditorium,Kansas City,United States of America,Legs Larry Tour
5,Nov,1972,Dallas Memorial Auditorium,Dallas,United States of America,Legs Larry Tour
8,Nov,1972,Texas A and M,College Station,United States of America,Legs Larry Tour
9,Nov,1972,Municipal Auditorium,San Antonio,United States of America,Legs Larry Tour
10,Nov,1972,LSU Assembly Center,Baton Rouge,United States of America,Legs Larry Tour
11,Nov,1972,Mid South Coliseum,Memphis,United States of America,Legs Larry Tour
12,Nov,1972,Memorial Auditorium,Nashville,United States of America,Legs Larry Tour
13,Nov,1972,Scope Auditorium,Norfolk,United States of America,Legs Larry Tour
14,Nov,1972,University Of Alabama,Tuscaloosa,United States of America,Legs Larry Tour
15,Nov,1972,Atlanta Coliseum,Atlanta,United States of America,Legs Larry Tour
16,Nov,1972,Charlotte Coliseum,Charlotte,United States of America,Legs Larry Tour
17,Nov,1972,Charleston Civic Center,Charleston,United States of America,Legs Larry Tour
18,Nov,1972,Hampton Roads Coliseum,Hampton,United States of America,Legs Larry Tour
19,Nov,1972,Carnegie Hall,New York,United States of America,Legs Larry Tour
20,Nov,1972,Carnegie Hall,New York,United States of America,Legs Larry Tour
21,Nov,1972,Baltimore Civic Center,Baltimore,United States of America,Legs Larry Tour
22,Nov,1972,State Farm Arena,Harrisburg,United States of America,Legs Larry Tour
24,Nov,1972,Jacksonville Coliseum,Jacksonville,United States of America,Legs Larry Tour
25,Nov,1972,Hollywood Sportatorium,Hollywood,United States of America,Legs Larry Tour
26,Nov,1972,Bay Front Center,St. Petersburg,United States of America,Legs Larry Tour
20,Jan,1973,Carnegie Hall,New York,United States of America,dusty springfield concert
24,Feb,1973,Starlight Rooms,Boston,United Kingdom,Spring 1973 Tour
25,Feb,1973,Greens Playhouse,Glasgow,United Kingdom,Spring 1973 Tour
28,Feb,1973,Town Hall,Birmingham,United Kingdom,Spring 1973 Tour
1,Mar,1973,De Montfort Hall,Leicester,United Kingdom,Spring 1973 Tour
2,Mar,1973,Liverpool Empire,Liverpool,United Kingdom,Spring 1973 Tour
3,Mar,1973,Liverpool Empire,Liverpool,United Kingdom,Spring 1973 Tour
5,Mar,1973,The Heavy Steam Machine,Stoke on Trent,United Kingdom,Spring 1973 Tour
6,Mar,1973,Guild Hall,Preston,United Kingdom,Spring 1973 Tour
7,Mar,1973,City Hall,Newcastle Upon Tyne,United Kingdom,Spring 1973 Tour
9,Mar,1973,City Hall,Sheffield,United Kingdom,Spring 1973 Tour
11,Mar,1973,Leeds University,Leeds,United Kingdom,Spring 1973 Tour
12,Mar,1973,Imperial College,London,United Kingdom,Spring 1973 Tour
15,Mar,1973,Colston Hall,Bristol,United Kingdom,Spring 1973 Tour
16,Mar,1973,Brighton Dome,Brighton,United Kingdom,Spring 1973 Tour
17,Mar,1973,Winter Gardens,Bournemouth,United Kingdom,Spring 1973 Tour
18,Mar,1973,Guildhall,Southampton,United Kingdom,Spring 1973 Tour
22,Mar,1973,Edmonton Sundown,London,United Kingdom,Spring 1973 Tour
23,Mar,1973,Edmonton Sundown,London,United Kingdom,Spring 1973 Tour
24,Mar,1973,The American School,London,United Kingdom,Spring 1973 Tour
25,Mar,1973,Coventry Theatre,Coventry,United Kingdom,Spring 1973 Tour
26,Mar,1973,Hard Rock,Manchester,United Kingdom,Spring 1973 Tour
27,Mar,1973,Hard Rock,Manchester,United Kingdom,Spring 1973 Tour
11,Apr,1973,Palasport,Napoli,Italy,Spring 1973 Tour
12,Apr,1973,Palazzo Dello Sport,Rome,Italy,Spring 1973 Tour
14,Apr,1973,Palazzo Azzarita,Bologna,Italy,Spring 1973 Tour
17,Apr,1973,Palazzo Dello Sport,Torino,Italy,Spring 1973 Tour
15,Aug,1973,Municipal Auditorium,Mobile,United States of America,Summer 1973 Tour
16,Aug,1973,Sam Houston Coliseum,Houston,United States of America,Summer 1973 Tour
17,Aug,1973,San Antonio Convention Center,San Antonio,United States of America,Summer 1973 Tour
18,Aug,1973,Cotton Bowl,Dallas,United States of America,Summer 1973 Tour
19,Aug,1973,Arrowhead Stadium,Kansas City,United States of America,Summer 1973 Tour
23,Aug,1973,Metropolitan Sports Center,Minneapolis,United States of America,Summer 1973 Tour
24,Aug,1973,International Amphitheater,Chicago,United States of America,Summer 1973 Tour
26,Aug,1973,State Fairgrounds,Des Moines,United States of America,Summer 1973 Tour
28,Aug,1973,University of Utah Special Events Center,Salt Lake City,United States of America,Summer 1973 Tour
30,Aug,1973,Portland Memorial Coliseum,Portland,United States of America,Summer 1973 Tour
31,Aug,1973,Seattle Center Coliseum,Seattle,United States of America,Summer 1973 Tour
1,Sep,1973,Balboa Stadium,San Diego,United States of America,Summer 1973 Tour
3,Sep,1973,University Arena,Albuquerque,United States of America,Summer 1973 Tour
4,Sep,1973,Big Surf,Tempe,United States of America,Summer 1973 Tour
7,Sep,1973,Hollywood Bowl,Los Angeles,United States of America,Summer 1973 Tour
8,Sep,1973,Long Beach Arena,Long Beach,United States of America,Summer 1973 Tour
9,Sep,1973,Oakland-Alameda County Coliseum Arena,Oakland,United States of America,Summer 1973 Tour
10,Sep,1973,Pacific Coliseum,Vancouver,Canada,Summer 1973 Tour
17,Sep,1973,Honolulu International Center,Honolulu,United States of America,Summer 1973 Tour
21,Sep,1973,Greensboro Coliseum,Greensboro,United States of America,Summer 1973 Tour
22,Sep,1973,Atlanta Stadium,Atlanta,United States of America,Summer 1973 Tour
23,Sep,1973,Madison Square Garden,New York,United States of America,Summer 1973 Tour
25,Sep,1973,Boston Garden,Boston,United States of America,Summer 1973 Tour
30,Sep,1973,Baltimore Civic Center,Baltimore,United States of America,Summer 1973 Tour
3,Oct,1973,UD Arena,Dayton,United States of America,Summer 1973 Tour
5,Oct,1973,Cobo Arena,Detroit,United States of America,Summer 1973 Tour
6,Oct,1973,St. John Arena,Columbus,United States of America,Summer 1973 Tour
7,Oct,1973,Indiana University Assembly Hall,Bloomington,United States of America,Summer 1973 Tour
9,Oct,1973,Civic Arena,Pittsburgh,United States of America,Summer 1973 Tour
11,Oct,1973,Mid South Coliseum,Memphis,United States of America,Summer 1973 Tour
12,Oct,1973,Murphy Athletic Center,Murfreesboro,United States of America,Summer 1973 Tour
13,Oct,1973,Stokely Athletic Center,Knoxville,United States of America,Summer 1973 Tour
18,Oct,1973,Memorial Coliseum,Tuscaloosa,United States of America,Summer 1973 Tour
19,Oct,1973,Georgia Coliseum,Athens,United States of America,Summer 1973 Tour
20,Oct,1973,Hollywood Sportatorium,Hollywood,United States of America,Summer 1973 Tour
21,Oct,1973,Florida Gymnasium,Gainesville,United States of America,Summer 1973 Tour
27,Nov,1973,Colston Hall,Bristol,United Kingdom,Fall 1973 Tour
29,Nov,1973,King's Hall Belle Vue,Manchester,United Kingdom,Fall 1973 Tour
8,Dec,1973,Empire Theatre,Liverpool,United Kingdom,Fall 1973 Tour
10,Dec,1973,Apollo Theatre,Glasgow,United Kingdom,Fall 1973 Tour
11,Dec,1973,Apollo Theatre,Glasgow,United Kingdom,Fall 1973 Tour
12,Dec,1973,City Hall,Newcastle,United Kingdom,Fall 1973 Tour
14,Dec,1973,City Hall,Sheffield,United Kingdom,Fall 1973 Tour
15,Dec,1973,American School,London,United Kingdom,Fall 1973 Tour
16,Dec,1973,Town Hall,Birmingham,United Kingdom,Fall 1973 Tour
17,Dec,1973,Town Hall,Birmingham,United Kingdom,Fall 1973 Tour
21,Dec,1973,Hammersmith Odeon,London,United Kingdom,Fall 1973 Tour
22,Dec,1973,Hammersmith Odeon,London,United Kingdom,Fall 1973 Tour
23,Dec,1973,Hammersmith Odeon,London,United Kingdom,Fall 1973 Tour
1,Feb,1974,Budohkan,Tokyo,Japan,1974 Japan Tour
2,Feb,1974,Budohkan,Tokyo,Japan,1974 Japan Tour
3,Feb,1974,Osaka Kohsei Nenkin Hall,Osaka,Japan,1974 Japan Tour
4,Feb,1974,Osaka Kohsei Nenkin Hall,Osaka,Japan,1974 Japan Tour
5,Feb,1974,Osaka Kohsei Nenkin Hall,Osaka,Japan,1974 Japan Tour
7,Feb,1974,Kyuden Kinen Tallkukan,Fukuoka,Japan,1974 Japan Tour
8,Feb,1974,Yubin Chokin Hall,Hiroshima,Japan,1974 Japan Tour
9,Feb,1974,Kyoto Kaikan,Kyoto,Japan,1974 Japan Tour
10,Feb,1974,Festival Hall,Osaka,Japan,1974 Japan Tour
11,Feb,1974,Nagoya Civic Hall,Nagoya,Japan,1974 Japan Tour
13,Feb,1974,Shinjuku Kohsei Nenkin Hall,Tokyo,Japan,1974 Japan Tour
19,Feb,1974,Memorial Drive,Adelaide,Australia,1974 Tour of Australia
21,Feb,1974,South Melbourne Football Ground,Melbourne,Australia,1974 tour of australia
23,Feb,1974,Milton Tennis Courts,Brisbane,Australia,1974 tour of Australia
28,Feb,1974,Western Springs Stadium,Auckland,New Zealand,1974 tour of australia
14,Mar,1974,Randwick Racecourse,Sydney,Australia,1974 tour of australia
18,Mar,1974,WACA Grounds,Perth,Australia,1974 tour of australia
5,May,1974,Watford Football Club,Watford,United Kingdom,benefit show
18,May,1974,Royal Festival Hall,London,United Kingdom,invalid children's aid society benefit
14,Jun,1974,Nassau Coliseum,Uniondale,United States of America,Beach Boys concert
25,Sep,1974,Dallas Convention Center,Dallas,United States of America,1974 Tour with Kiki Dee
26,Sep,1974,Hofheinz Pavilion,Houston,United States of America,1974 Tour with Kiki Dee
27,Sep,1974,Municipal Auditorium,Mobile,United States of America,1974 Tour with Kiki Dee
28,Sep,1974,Memorial Coliseum,Tuscaloosa,United States of America,1974 Tour with Kiki Dee
29,Sep,1974,Louisiana State University,Baton Rouge,United States of America,1974 Tour with Kiki Dee
3,Oct,1974,The Forum,Los Angeles,United States of America,1974 Tour with Kiki Dee
